,origin,tweet,label
107,MFH,@PDChina تعالوا ناخذ وصفه طبيعيه خلال ساعه باذن الله تنقذنا وتخلصنا من الكورونا ومن ملبوساتها وتعيد لكم عجله الحياه الطبيعيه وتحرركم من سجن الكورونا تلفون972522878900  جاهز ان اسلمها لكبار علماء الذب بالعالم ليفحصوها  .,False
108,MFH,الفرق بينك وبين إللي معه كورونا ، إنه هو عمل الفحص وأنت لأ . 🙁  ~ بكرى نتيجة الفحص ، دعواتكم ~ . 💛,False
109,MFH,رياض سلامة: ما في داعي للهلع الليرة بألف خير ودولارات كشك. وزير الصحة: ما في داعي للهلع فنجان قصعين وتحميلة بيمشي الحال. #كورونا #سنموت_بعد_قليل,False
110,ARC,"بسبب ""#كورونا"".. #العراق يغلق معبرا حدوديا مع #إيران - على خلفية تسجيل حالتي وفاة وإصابات بالفيروس في إيران  - إعلام محلي: خلية الأزمة بوزارة الصحة العراقية قررت منع دخول المواطنين الايرانيين إلى العراق حتى إشعار آخر",False
111,ARC,@AjelNews24 عام 1720 يضرب مرض الطاعون العظيم مرسيليا الفرنسيه عام 1820 يضرب مرض الكوليريا إندويسيا والفلبين وتايلاند عام 1920 يضرب مرض الإنفلونزا الأسبانية وقد كانت كارثة بشرية تجاوز ضحاياها 100 مليون اما الآن 2020 كورونا الجديد يحصد أرواح العشرات من الصينيين - وباء فيروسي كل 100 سنة !,False
112,ARC,عليكم بالوضوء فهو يطهر الجسم من الفايروسات والجراثيم وعليكم بكثرة ذكر الله عزوجل    #كورونا_في_الكويت,False
113,ARC,🔴 إعلام العدو : إصابة ولي عهد أبو ظبي محمد بن زايد بفيروس #كورونا,False
114,4IF,تفعلها روسيا للمرة الثانية بعدما سهلت للبشرية الوصول للقمر والآن وتذهل العالم بإختارع اول لقاح ضد Covid_19 ويأكد الرئيس (بوتن) بأنه اول لقاح رسمي يعتمد واضاف ايضا بان ابنته كانت من ضمن الاشخاص الذي تم تلقيحهم به🤚 https://t.co/cC4dhg9cN3,False
115,ARC,🔴 اعلن وزير التربية طارق المجذوب  بيان صادر عن إنهاء العام الدراسي  و اعطاء  الإفادات لصفوف الشهادة بسبب الاوضاع الحرجة التي تمر بها البلاد؛ او بعد ما اعلن ؟ #كورونا_لبنان,False
116,ARC,الاسلام ينتشر 💕 عدد كبير من  الصنيين اعتنقوا الاسلام بنفس اللحظة #كورونا_فيروس  #كورونا_الصين,False
117,ARC,الرئيس الصيني يزور احدالمساجد ويطلب من ائمة المسجد الدعاء الى الله ان ينجيهم من ماهم فيه سبحان الله #كورونا #كورونا_الصيني,False
118,4IF,#بقلم_المقاومة عدة دول قدموا علاجا ولقاحا ل #كورونا لكن منظمة الصحة العالمية رفضتهم وروسيا أعلنت عن إيجاد لقاح والمنظمة تشكك به في أكثر من تغريدة قلت أن منظمة الصحة تمارس دورا مشبوها حتى أنها منعت تشريح جثث المتوفين وعوقب من لم يلتزم فكيف سنثق بها بعد الكم الهائل من هذه الأخبار https://t.co/9V0e5uqYGC,False
119,MFH,#الولايات_المتحده 1.7 مليون اصابه بالولايات المتحده ، عندي وصفه تخلصكم من الكورونا خلال ساعه باذن الله ، لقد خصصتم 2.2 ترليون لمكافحه الكورونا ، افتح حساب لي عندكم وحولهم لحسابي ومثلهم معم وادعوني لاحضر مع الوصفه لكي اسلمها لكبار علماء الطب تلفون 972522878900 ناجحه ١٠٠/١٠٠ .,False
120,ARC,في القرآن والسنة النبوية من شروط الوضوء غسل اليدين بالماء والمضمضة والاستنشاق والمبالغة لغير للصائم  من استمر في ذلك خمس مرات في اليوم سيكون بعيدًا عن #فيروس_كورونا باذن الله,False
121,ARC,قال اليانسون المغلي منيح للوقاية من ال #كورونا  المسلّم الله 🙏😇,False
122,ARC,١- سبحان الله أول مره نفرح بقدوم الغبار والسبب كلنا عندنا معلومه بأن الفيروسات الغير مرئيه لايقضي عليها الا الغبار فسبحانك ربي ما أعظمك وما ألطفك بعبادك سبحان الله الذي سير الغبار إلينا في وقت لم نعتاد على الغبار في مثل هذا الوقت وهذا الشي يجب ان نتفكر به   #كورونا_في_الكويت,False
123,MFH,بيصيبني الهلع بس إسمع الدولة اللبنانية عم تقلّي #لا_داعي_للهلع!! #سنموت_بعد_قليل #كورونا,False
124,ARC,رئيس كوريا الشمالية يقول ان فايروس #كورونا_الصيني  لن ينتشر في بلادة   لأنه سيتم اعدام اي شخص  يصاب بهذا المرض…  ما عنده كيري ميري,False
125,ARC,#اخبار_العالم   l    #فيروس_كورونا_الصين   #الصين تعلن التوصل لدواء فعال ضد #فيروس_كورونا,False
126,ARC,منظمة الصحة العالمية: غزة خالية من وباء الكورونا واجراءاتها الصحية فعالة ونتابع معهم بكل لحظة #فيروس_كورونا_المستجدّ  #حظر_التجول,False
127,ARC,اختبارات كشفت أن فيروس كورونا ينشط أكثر في الطقس البارد والجاف مقارنة بالطقس الحار والرطب.  #كورونا #فيروس_كورونا,False
128,ARC,اسراب من الغربان والبعوض تضرب الصين،،،سبحانك ربي   #كورونا_الصين,False
129,ARC,فيديوهات لآلاف الغربان تحلق فوق ووهان الصينية تثير الجدل :,False
130,ARC,انباء عن الاشتباه في اصابة الامير تميم #كورونا_الجديد و #كوفيد_19 مع بعض 😂 يابن المحظوظة 😂 وهذا ربما يكون السبب الاكبر في تقديم قطر طلب رسمي الي الامم المتحدة اليوم تطلب فيه فك المقاطعة و العفو و السماح من المملكة العربية السعودية و جمهورية مصر العربية وباقي دول الخليج,False
131,4IF,منظمة الصحة العالمية قد نجد علاجا لجائحة covid _19 ولكننا عاجزون تماما عن ايجاد لقاح لوباء العوني,False
132,ARC,باولو ديبالا هو ثاني لاعب في الدوري الإيطالي يعاني من فيروس كورونا 💔💔💔,False
133,ARC,الحكومة الصينية تتهم الجيش الأمريكي بجلب الفايروس للأراضي الصينية. هذه أتهامات خطيرة وإذا ما ثبتت،،،، فهي الحرب النووية لا محاله!  #فيروس_كورونا #الكويت_تتصدى_لكورونا,False
134,ARC,#كورونا_لبنان #الكورون شاهد قبل حذفه فيديو لصدام حسين يتحدث عن فيروس كورونا عندما هددوه الأمريكان به في التسعينات..وقاعدين الوزرا عكراسي بلاستيك...!!! ا,False
135,ARC,#اسقاط_القروض_لليوم_448 أخبار جيدة كورونا فيروس أوهان يمكن معالجته بماء الثوم الطازج المغلي  طبيب صيني مسن اثبت فعاليتها وكذلك عدة مرضى استخدموها واثبتوا فعاليتها خذ ٨  فصوص ثوم كبيرة واهرسها.. اضف ٧ كؤوس ماء ثم أغلى الخليط.. كل الثوم واشرب من الماء المغلي. بين في الليل والنهار,False
136,4IF,"⭕️هذه هي ""شريحة الدجال"" التي سيحاولون فرضها على مواطني العالم، في اقرب وقت ممكن بقوة القانون لاستعبادهم و التحكم بهم جينيا: بيل غيتس ينفي ان انخراطه في جهود ايجاد مصل لعلاج فيروس كورونا هدفه زرع شرائح إلكترونية للتعقب في اجساد البشر من خلال لقاح https://t.co/zCxyfUizU7",False
137,ARC,"رئيس وزراء إيطاليا جوسيبي كونتي :  "" لقد فقدنا السيطرة، الوباء قتلنا نفسيًا بدنيًا و عقليًا، لم نعُد نعي ماذا سنفعل، لقد إنتهت جميع الحُلول على وجه الأرض، الحل متروك للسماء "". يا رب رحمتك 💔 #كورونا  #ايطاليا  #WeStandWithItaly  #prayforitaly",False
138,MFH,معاليك صار في تقديرياً شي ١١ حالة كورونا فيك تقلنا قديش الرقم يلي لازم نوصلو تنبلش نهلع ؟؟ إذا بتريد يعني  #سنموت_بعد_قليل #لا_داعي_للهلع,False
139,ARC,القناة 12 العبرية: إصابة محمد بن زايد بفيروس #كورونا عقبال عند كل حكامنا الطواغيت والمجرمين,False
140,4IF,الدول التي توصف بأنها متقدمة..هذا ما فعلته شعوبها بأزمة #كورونا ..بريطانيا مثال: URL,False
141,ARC,سكاي نيوز:الصين تعلن التوصل لعلاج كورونا وشفاء 960 مصاب. #south24,False
142,MFH,اعدمو القادمين من ايران خونه انجاس #ايران_تصدر_كورونا_للخليج,False
143,ARC, عاجل: إعلام العدو : إصابة ولي عهد أبو ظبي محمد بن زايد بفيروس #كورونا   🔺  تابعوا البث المباشر لقناة المنار      موقع قناة المنار 🇱🇧 لبنان,False
144,ARC,دراسة جديدة .. حبة موز يومياً تحمي من #كورونا     #فيروس_كورونا #فيروس_كورونا_المستجدّ  #كوفيد١٩  #Corona  #COVID19  #وقاية_وأمان  #البيان_القارئ_دائما,False
145,ARC,#فيروس_كورونا عليكم #بالشلولو يقولون سريع المفعول ووصفته سهلة :  * مولوخية * ثوم  * ليمون  * ملح  وامورك طيبة,False
146,ARC,عاجل جدا جدا جدا انباء عن انتشار فيروس كورونا بالمدارس المصرية الطف يارب وسلم يارب وابعد الشر والسوء عن اهل مصر,False
147,ARC,الصور مأخوذه من تقرير لقناه اعلاميه اجنبيه  #الموز طارد ل #كورونا,False
148,ARC,@Talhabeeb 🌴🕌🕯🕋🕯📿📢 💐حياالله الصالحين✋ 🌹حفضكم الله جميعا🤲 خبيرصيني يجزم👼  ويؤكد ان استنشاق🤧 بخارالماء يقتل😤 فيروس كورونا ١٠٠%🦠 اذاكان موجودفي الرئتين🦠  أوالحنجرة أوالأنف👃  فالفيروس لايحتمل😷  درجة حرارة بخارالماء الدافئة🌡 🎠 ارجونشرهذه المعلومه🍃  🍂في صفحتكم وعلى أوسع نطاق,False
149,ARC,- الغرغرة بماء دافئ وملح او  Betadine sore throat  يقتل جراثيم اللوزتين ويمنعها من التسرب الى الرئتين  اضافة الى شرب الماء بكثرة..7️⃣  Unicef# #كورونا,False
150,ARC,"شو صحة هاي الخبر؟  مُصيبة تحل على الإمارات.. إصابة محمد بن زايد بـ""كورونا"" وقرار عاجل بتأجيل اكسبو دبي 2020 | وطن",False
151,ARC,@uae_3G أكل الموزه مفيد ضد كورونا,False
152,4IF,#هام 🔴 . . في حين يتسابق العلماء في كل من روسيا وبريطانيا لإيجاد لقاح فعال .. #الصين تفجر مفاجأة : بدأنا استخدام لقاح ضد #كورونا (كوفيد 19) رغم عدم اكتمال التجارب السريرية المفروضة. (عكاظ) . . https://t.co/2FCX1KtCV6,False
153,4IF,#بوتين #يعلن تسجيل أول #لقاح مضاد لفيروس #كورونا في العالم .. والصحه العالميه خرجت بتصريح وقضت على امال بوتين وقالت : لا يمكن إنتاج أي لقاح لكورونا قبل اكتمال مرحلتي الاختبار الثانية والثالثة الصحه العالميه حجر عثر امام اي لقاح جديد حتى لو كان مُنزل من السماء لا تعترف به,False
154,MFH,#ايران_تصدر_كورونا_للخليج حسبي الله عليكم شيعه خونه دائما وابدا ولاء الشيعي لايران لعن الله والديكم ابناء متعه,False
155,ARC,#كورونا   بعد الإعلان فى مصر عن اختراع علاج مرضى الأمراض المستعصية عن طريق اكل الكفتة الإعلان فى مصر عن اختراع علاج مرضى فيروس كورونا القاتل عن طريق اكل البلح الزغلول,False
156,ARC,"وسائل إعلام إسرائيلية  تعلن عن إصابة ولي عهد أبو ظبي ""#محمد_بن_زايد"" بفيروس #كورونا",False
157,ARC,الاعلام العبري يكشف عن اصابة #محمد_بن_زايد بفايروس #كورونا   يا رب يكون الخبر صحيح .  #شكرا_كورونا,False
158,ARC,يُقال بأنه على الأقل منذ ٦٠ عامًا لم تُشاهد الدلافين والبجع بجزيرة البندقية ولم تُشاهد الأسماك مرئية هكذا لنقاء المياة منذ زمن طويل بسبب إنتشار فايروس #كورونا والذي توقفت معه حركة القوارب والفنادق بما فيها المطاعم والسياح. . رُبَّ ضَارةٍ نافعة ,False
159,MFH,#ايران_تصدر_كورونا_للخليج لعنت الله عليهم وعلى الي يسافر لهم  الفرس المجوس المجرمين واي سعودي يسافر لهم بالسر المفروض يشنق  لانه خاين لبلده,False
160,MFH,#ايران_تصدر_كورونا_للخليج أي مواطن يسافر لإيران يعتبر خائن للوطن بغض النظر عن حمله للكورونا لأنه ذهب لدولة معادية وتدعم الارهاب ضد المملكة,False
161,ARC,من الواضح ان هذا الفيروس لا يأتي إلا من الأوساخ ومن أكل لحوم الحيوانات التي هي غير صالحه لغذاء الأنسان  . لذلك لا بد لنا من الانتباه الى ما نأكل ...   #كورونا,False
162,ARC,عاجل .. تفاصيل إصابة باولو #ديبالا بفيروس #كورونا  التفاصيل 👈,False
163,MFH,▣مباشرة من البيت الابيض  لم ينتبهوا للكاميرا  مقطع مسرب لفريق عمل ترامب يتكلمون عن فيروس كورونا بأنه خدعة وبأن اللقاح موجود وانهم ملقحون ضده فلا داعي للبس الكمامات عندما لا يكون البث   ويخبر احدهم ان الوفيات مزورة وان الفيروس ضعيف جدا..##فضيحة_البيت_الابيض  https://t.co/DsfkO2RKx0,False
164,MFH,تم قصف جبهة ايران في مقدمة اخبار الmtv @MTVLebanonNews @nakhleodaime #كورونا #لا_داعي_للهلع #سنموت_بعد_قليل,False
165,MFH,الاسم: الدولة اللبنانية المهنة: لا داعي للهلع   #سنموت_بعد_قليل #كورونا,False
166,ARC,شيء غريب فعلًا 🤭‼️ روائي أمريكي شهير يكتب قبل ٣٩ عامًا رواية عنوانها ، عيون الظلام، عن فيروس طوّره الجيش الصيني في مدينة #ووهان لإستخدامه كسلاح بيولوجي ضد البشر، والأحداث تتطابق مع #كورونا  #كوفيد_19,False
167,ARC,وسائل إعلام إسرائيلية تتحدث عن اصابه ولي عهد أبو ظبي #محمد_بن_زايد بفيروس #كورونا  وخبر أخر يتحدث بأن #ابن_زايد نقل إلى مستشفى كليفلاند في #أبو_ظبي ثم نقل إلى حجر داخلي في قصره.  اللهم آمين يارب العالمين، والله يجير المؤمنين والعباد من هذا الوباء ووباء الخليج #مبز و #مبس,False
168,ARC,الاشتباه في إصابة أمير قطر بفيروس كورونا   #فيروس_كورونا_المستجدّ  #فيروس_كورونا  #أمير_قطر_مصاب_بكورونا #قطر_كورونا,False
169,4IF,مؤشر داو جونز يرتفع بنحو ٩٠٠ نقطة بعد اعلان ان لقاح تطوره شركة موديرنا لمكافحة فيروس كورونا يحقق تقدما.,False
170,ARC,عاجل - باولو ديبالا وُجدت له عينة ايجابية فيما يخص فيروس كورونا .. ثاني حالة في اليوفينتوس بعد روغاني,False
171,ARC,في ظل غياب وعدم استجابة حكومتنا ودول التحالف لمناشدة الطلاب اليمنيين سلطان عمان هيثم بن طارق يأمر بإجلاء الطلاب اليمنيين من #ووهان الصينيه لإنقاذ حياتهم من #فيروس_كورونا القليل من امثالك🌹🌹,False
172,ARC,*عاجــل الأمارات*  *أنباء عن إصابة ولي عهد أبوظبي محمد بن زايد بفيروس كورونا*  *الحـــــــــــــــــــــــــــــدث*,False
173,4IF,"#ترامب : ""الدولة العميقة"" تعيق التوصل إلى لقاح #كورونا قبل الانتخابات. #اوباما صاير #المالكي بس النسخة الأمريكية وتخيل التأثير العالمي مالته. https://t.co/XWOC1ubAkN",False
174,ARC,@uae_3G الحمدلله على كل حال  القناه الإسرائيليه الثانيه عشر 12.  تؤكد اصابة ولي عهد أبوظبي محمد بن زايد بفايروس كورونا عن طريق الخادمه  الفلبينيه في قصره.  عقبال اللي خالطوه امثال المزروعي وضاحي خلفان و ولد رشود صالونه.  #الامارات  #كورونا  #كورونا_الجديد  👇🏽👇🏽👇🏽👇🏽👇🏽👇🏽👇🏽,False
175,ARC,@media_noura @NaguibSawiris للمعلومة بيل غيتس يدعم لقاحات كورونا فايروس عشان يحط فيها شريحة ذكيه تدخل جسم كل إنسان ويصير هو المسيطر ع العالم ، يعني بكره تصيررين زين الجوال في يده يتعقبك وين ما كنت و يتحكم في العالم زي ما يبغى ... ابحث عن الموضوع وتعرفي اكثر,False
176,ARC,خبير صيني يجزم ويؤكد ان استنشاق بخار الماء يقتل فيروس كورونا ١٠٠% اذا كان موجود  في الرئتين  أو الحنجرة أو الأنف فالفيروس لا يحتمل درجة حرارة بخار الماء الدافئة ..  ارجو نشر هذه المعلومه في صفحتكم وعلى أوسع نطاق #وزارة_الصحة #CoronavirusLockdown #COVID2019 #QuarantineLife,False
177,ARC,رئيس كوريا الشمالية يقول ان فايروس كورونا لن ينتشر في بلاده لأنه سيتم اعدام اي شخص يصاب بهذا المرض على الفور…  صاحب الحلول السريعة 😁🤦🏼‍♂ #كورونا  #كوريا_الشمالية  #كم_جونغ,False
178,4IF,٢٨ ٨ ٢٠٢٠ (خلايا أجنة لإنتاج لقاح أكسفورد كورونا)، لكن ليس عليك أن تقلق لأنها (حصدت) من جنين أنثى أجهضت عمدا في ١٩٧٣! لم التطرق للموضوع على قناة استرالية؟ قبل أيام صرح أحد أهم رجال الدين الإنجليكانيين عن مقاطعته للقاح إن استزرع في خلايا مجهضة. وعلماؤنا؟! https://t.co/o1CzBcSejZ,False
179,ARC,كنيسه في ألمانيا تطلب من أمام المسجد رفع الأذان في الكنيسه ..  #كورونا,False
180,ARC,#كورونا..   إلتقطت هذه الصورة صباح اليوم الجمعة لطائرة الخطوط الاماراتية مقلعه من دبي إلى بكين ( الصين ) وعلى متنها راكب واحد فقط يحمل الجنسية اليمنيه رايح يشتري بضاعه  🙂  مايهزه ريح ابو يمن 😂😂,False
181,ARC,زيارة الرئيس الصيني احد المساجد ويطلب من المسلمين الدعاء إلى الله  #كورونا_الصين,False
182,ARC,فيروس كورونا يضرب إنتر أليكسيس سانشيز,False
183,ARC,يهود في نيويورك عندهم جنازة طلبت الشرطه عدم التجمع بسبب فايروس كورونا ما انصاعوا للتعليمات لأنهم يعتقدون ان الفيروس ما يضرهم بحجة أنهم أبناء الله !!  اشتغلوا عليهم رشاشت ماء المطافي  😂😂😂😂😂😂  #كورونا_الجديد #كوفيد١٩  #اليهود  #USA #CoronaVirusUpdates  #COVID19 #Jewish,False
184,ARC,الصين بدأت في قتل المصابين بمرض كورونا ...!  #كورونا #الصين,False
185,ARC,شكل علاج  #الكورونا الثوم (:,False
186,MFH,عاجل🔴 الحمدلله الحمدلله الحمدلله منظمة الصحة العالمية أعلنت عن العلاج النهائي لڤايروس كورونا وهو شرب الماء بالعسل والليمون لمدة خمس ايام، اما اليوم السادس تشرب ماء باالليمون فقط، بيطلع لك الڤايروس يقولك وين العسل؟ قوله قاعد يقرأ التغريده ، ههههه يسعد صباحكم.,False
187,ARC,الصين تتوصل لعلاج جديد لـ فيروس كورونا,False
188,ARC,أعلنت الصين رسميا ومنذ ساعات قليلة عن نجاح المصل المصرى التى قدمته الدكتورة هالة وزيرة الصحة المصرية الى وزارة الصحة الصينية لعلاج فيروس كورونا والذي أثبت فاعليته بنسبة 100 % على اكثر من 7 حالات تم شفائهم،  #النادي_الدبلوماسي_الدولي_للأمم_المتحدة,False
189,ARC,@AldawaaCare هل يُساعد تناول الثوم في منع الإصابة بـ #فيروس_كورونا ؟  #صيدليات_الدواء #رعاية_بلا_حدود  نعم يساعد تناول الثوم ،في منع الأصابة بالفيروس كورونا ،لتقوية المناعة في جسم الأنسان ,False
190,ARC,تناول الثوم يوميا يقوى جهاز المناعة ويحمى الجسم من الفيروسات ... عليكم بتناول الثوم للوقاية من الفيروسات وخصوصا فيروس كورونا الوقاية خيرا من العلاج.. الله هو الشافي وهو علي كل شى قدير #كورونا_الصين,False
191,ARC,"وعلى نفس المنوال كانت رواية ""عيون الظلام"" للكاتب الأمريكي دين كونتز التي صدرت عام 1981، وتنبأت بكارثة فيروس كورونا",False
192,ARC,وثيقة فاضحة من هيئة الطيران القطري...!  الوثيقة تكشف سبب انتشار وباء كورونا في #قطر بشكل خطير ، منع السفر الى الكويت وعمان ومصر واستثناء ايران و تركيا,False
193,ARC,#كورونا  قتل المصابين بفايروس كرونا في شوارع الصين بالأسلحة النارية فوراً,False
194,ARC,#عليكم_ببول_الابل مهدي سبيلي،مدير الجمعية العلمية لطب الإمام الصادق،في ايران ينصح أبناء جلدته بشرب وزر  الإبل  كعلاج في مواجهة #فيروس_كورونا   سبحان الله طول عمرهم يصفون العرب بأكلة الجراد وشاربي بول الإبل ولكن بفضل #كورونا اصبحوا يتمنون بول الإبل. حماقات #الشعوبية,False
195,ARC,أنباء عن وفاة طفل #فيروس_كورونا في مشفى #المجتهد في #دمشق حسب مصادر اعلامية,False
196,ARC,"عاجل  إيطاليا تفقد السيطرة كلياً عن إحتواء الفيروس ورئيس الوزراء يقول : "" إنتهت حلول الأرض  الأمر متروك للسماء "" #كورونا #كورونا_الجديد",False
197,4IF,حملة أميركية وغربية ضد اللقاح الروسي #كورونا #Covid19 #الميادين_Go https://t.co/7fBECQWe35,False
198,MFH,#ايران_تصدر_كورونا_للخليج  الخونة اللي سافروا إيران بدون علم الحكومة يجب أن ينالوا أقسى العقوبات لأنهم خطر يهدد الأمن القومي للمملكة,False
199,ARC,خبير صيني يجزم ويؤكد ان استنشاق بخار الماء يقتل #فيروس_كورونا ١٠٠% اذا كان موجود  في الرئتين  أو الحنجرة أو الأنف فالفيروس لا يحتمل درجة حرارة بخار الماء الدافئة ..   #كورونا,False
200,ARC,"رئيس الوزراء الإيطالي:  ""انتهت حلول الأرض، الأمر متروك للسماء""  إيطاليا فقدت السيطرة رسمياً... #كورونا",False
201,MFH,@ChinaDaily عندي وصفه طاهره ١٠٠/١٠٠ تنجي العالم من الكورونا وترجع الحياه الى طبيعتها وتنقذ الاقتصاد وتنقذ البشر من الانقراض تلفون 972522878900 وصفه طبيعيه مجربه على البشر وحتى على الحيوان على مسوولي العالم الاتصال معي لعقد صفقه الثلاث قرون الصحه الاقتصاد وعجله الحياه ان حاهز الان,False
202,4IF,كم ستستمر المناعة بعد الإصابة بـ COVID-19؟ للذين يتعافون من الإصابة بـ COVID-19 ، تظهر الأبحاث الجديدة أن المناعة ضد الفيروس ربما تستمر لمدة 3 أشهر على الأقل. يعني عكس اللقاحات للأمراض الأخرى التي تلقحون ضدها، لقاح COVID-19 سوف لن يفيدكم طالما المناعة من الإصابة به قصيرة الأمد.,False
203,MFH,بيان صادر عن وزارة الصحة :  ضهروا وين ما بدكم عمركن ما ترجعوا ..  مظبوط هالحكي ياكبير؟ @Hamad_hassan20  #لا_داعي_للهلع #سنموت_بعد_قليل #كورونا_لبنان,False
204,ARC,#غبار_الرياض #كورونا  جاء الغبار ليطهرنا من الفايروسات😌,False
205,ARC,احيانا القدر يبدع  بتصفية الحسابات وسائل إعلام اسرائيله تكشف إصابة محمد بن زايد بفيروس #كورونا وسط تكتم إعلامي غير مسبوق,False
206,MFH,#كورونا_في_الكويت عندي وصفه تنقذ الكويت من الوبأ وتنقذ اقتصاد العالم وترجع الحياه الى طبيعتها وصفه ناجحه ١٠٠/١٠٠ مجربه على البشر وعلى الحيوان تلفون 972522878900 حاهز ان اذهب الى اخر العالم لانقاذ الكويت على امير الكويت الاتصال معي لنعقد صفقه الثلاثه قرون الصحه الاقتصاد والخياه .,False
207,MFH,عم يحت #كورونا !  #لا_داعي_للهلع #سنموت_بعد_قليل #كورونا_لبنان,False
208,MFH,#ايران_تصدر_كورونا_للخليج  المفروض اللي يسافرون لإيران مايدخلون السعودية لانهم خونه أعداء الوطن والإسلام 😒🔪,False
209,ARC,اهم علاجين على مر التاريخ الثوم والبصل #كورونا_الجديد  #كورونا  #ظل_بالبيت,False
210,MFH,💣قنبلة على المباشر👇 فضيحة كورونا  من #البيت_الأبيض  لم ينتبهوا للكاميرا! مقطع مسرب لفريق عمل ترامب يتكلمون عن #كورونا_فيروس بأنه خدعة وبأن اللقاح موجود وأنهم ملقحون ضده فلا داعي للبس الكمامات عندما لا يكون البث. ويخبر أحدهم أن الوفيات مزورة وأن الفيروس ضعيف جدا! #سنعود_لحراكنا  https://t.co/qnRydvRxhz,False
211,ARC,بسبب #كورونا.. #لبنان ينهي العام الدراسي,False
212,ARC,خبير صيني يجزم ويؤكد ان استنشاق بخار الماء يقتل فيروس كورونا ١٠٠% اذا كان موجود  في الرئتين  أو الحنجرة أو الأنف فالفيروس لا يحتمل درجة حرارة بخار الماء الدافئة ..  #فيروس_كورونا #كوفيد_19 #حظر_كامل #عاجل #العالم #العالم_في_مواجهة_كورونا  #كورونا #يوم_الجمعة,False
213,MFH,"🔴 ""فيروس #كورونا يكره النقاب""!! عنوان مقال فى صحيفة فرنسية يقول:""المنتقبات لن يخفن من العدوى وهن اقل عرضة لكورونا لانهن لا يصافحن بالايدي ولا يقبلن ولا يعانقن وهذه هي الاحتياطات الموصى بها من طرف العلماء لتفادي الإصابة"". سبحانك ربي ما أعدلك  منقول للأهمية  https://t.co/ojR5sllgvR",False
214,MFH,-حسن: سنوصي باقفال عام لمدة 15 يوماً في حال كان التقييم لأيام الاقفال سلبياً.  EDEN BAY عم يضحك بالزاوية على هيدا القرار قبل ما يطلع! 😅  @HAMAD_HASSAN20 @mophleb  #لا_داعي_للهلع #سنموت_بعد_قليل #كورونا_لبنان #منظمة_الصحة_العالمية #فيروس_كورونا,False
215,ARC,حسبت وجهة نظري المتواضعة في البداية هذا رايي الشخصي عزيزي القارئ ان فايروس كورونا بدأ من الصين بسبب ان الصينيين يأكلون بعض الاطعمة من غير طبخ و يأكلون حشرات و اسماك غير صحية و نظيفة و بدأ من ووهان و اصبح اقوى حتى وصل الى الكويت و البحرين و وصل ايطاليا و اسبانيا و غيرها من البلاد,False
216,ARC,وزارة الصحة العراقية تطالب بغلق الحدود مع #ايران بسبب تفشي فايروس #كورونا في عدد من مدنها #اغلقوا_الحدود_مع_ايران,False
217,ARC,@DrNezarB @abdulilah3000 تعرف ان في اغلب البلدان اللي وصلها فيروس كورونا (اللهم احفظنا) بيعطو المرضى والحالات المشتبه بها ثوم وبصل كعنصرين اساسية في غذاؤهم..اذا كانت فلسفتك وكل فترة طالع بفكرة جديدة وتدعي انك الفاهم ماغيرك من باب حب الظهور اوالشهرة.. فاتقي الله انت طبيب ربي ماحيتركك بدون بلاء وحتكون عبرة,False
218,ARC,"#كورونا_الصين                     عيون الظلام منذ 39 عاما وتحديد سنة 1981 تنبأ الكاتب والروائى الأمريكى دين كونتزبظهور فيروس كورونا "" فى مدينة ووهان الصينية وهو ما ظهر فى روايته ""عيون الظلام The Eyes of Darkness""  التى تطابقت أحداثها بشكل كبير مع الواقع الحالى",False
219,ARC,خبير صيني يجزم ويؤكد ان استنشاق بخار الماء يقتل فيروس كورونا ١٠٠% اذا كان موجود  في الرئتين  أو الحنجرة أو الأنف فالفيروس لا يحتمل درجة حرارة بخار الماء الدافئة ..  ارجو نشر هذه المعلومه في صفحتكم وعلى أوسع نطاق #تقديم_منع_التجول_بجدة  #فيروس_كورونا,False
220,ARC,في إيطاليا المواطنون يلقون اموالهم في الشوارع ،بمعنى انها لم تعد تنفعهم .. الحمدلله على نعمة الإسلام الحمدلله على العافية الحمدلله على نِعَمه التي لاتُحصى.#خليك_ببيتك_وانشد_لوطنك  #يوم_الأرض_الفلسطيني  #البدون_بين_الوباء_والظلم  #إبشر_سيدنا  #فيروس_كورونا,False
221,ARC,الشلولو علاج #الكورونا,False
222,MFH,لبنان الغريق  لبنان الحريق  لبنان ينتفض  لبنان الدولار  لبنان الكمامة  لبنان كورونا  لبنان الجراد لبنان الفساد  لبنان المحسوبيات  لبنان في شي اكبر مني ومنك عم يصير  ولا داعي للهلع  #سنموت_بعد_قليل,False
223,ARC,الهروله إلى جهنم و بئس المصير ! عملية زراعة الشريحه الالكترونيه تحت الجلد و التي هي بحجم حبة الارز نوع بسمتي . الكلام يدور حالياً أن اللقاح الذي سوف يقوم بإنتاجه السيد بيل غيتس سوف يحتوي على مثل هذه الشريحة  ! ⁦🇵🇸⁩ #فلسطين  #العراق #تونس #اليمن #الجزائر  #السعودية  #الكورونا,False
224,ARC,باالبلدي  ليقيكم من خطر #كورونا_فيروس عليكم باالموز بعدالله  وبأذن الله لن يصيبكم شي  واليمن والحمدلله غنيه باالموز #الموز,False
